y^2=x^3+x+2,,y^2=x^3+x+6,,,y^2=x^3+2x+4,,,y^2=x^3-2x+5,,,,,,,,,,,,
17,,13,31,61,13,31,61,13,31,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4 6,,2 4,2 4,2 4,2 4,2 4,2 4,1 2,1 2,1 2,,,,,,,,,,
1 2,,9 9,3 6,32 54,8 5,1 21,41 4,7 3,0 6,40 34,,,,,,,,,,
10 3,,11 10,30 2,23 22,7 6,7 19,18 57,9 1,15 23,8 47,,,,,,,,,,
16 0,,12 11,27 0,33 13,0 2,0 2,26 8,2 3,25 24,51 60,,,,,,,,,,
10 14,,3 7,30 29,45 15,12 12,30 30,11 25,11 1,25 7,0 26,,,,,,,,,,
1 15,,4 3,3 25,30 47,9 6,19 9,6 7,4 10,15 8,26 49,,,,,,,,,,
4 11,,4 10,2 27,54 12,5 10,28 23,4 25,5 9,0 25,43 2,,,,,,,,,,
0 0,,3 6,0 0,57 11,10 6,8 25,28 28,6 12,1 29,17 59,,,,,,,,,,
,,12 2,,22 60,10 7,10 30,12 29,10 6,0 0,24 19,,,,,,,,,,
,,11 3,,18 0,5 3,16 28,38 28,3 0,,49 58,,,,,,,,,,
,,9 4,,22 1,9 7,21 21,35 35,10 7,,31 24,,,,,,,,,,
,,2 9,,57 50,12 1,24 22,46 36,6 1,,13 38,,,,,,,,,,
,,0 0 ,,54 49,0 0 ,9 10,10 29,0 0 ,,56 16,,,,,,,,,,
,,,,30 14,,22 1,54 47,,,23 29,,,,,,,,,,
,,,,45 46,,4 18,9 43,,,53 34,,,,,,,,,,
,,,,33 48,,12 19,30 23,,,46 36,,,,,,,,,,
,,,,23 39,,27 5,16 17,,,29 27,,,,,,,,,,
,,,,32 7,,27 26,56 33,,,9 17,,y^2=x^3+x+6,,,y^2=x^3+2x+4,,,y^2=x^3-2x+5,,
,,,,2 57,,12 12,60 1,,,4 0,,13,31,61,13,31,61,13,31,61
,,,,0 0,,4 13,0 59,,,9 44,Total,13,32,61,17,35,52,20,27,76
,,,,,,22 30,7 42,,,29 34,Subgroup,13,8,20,13,31,52,13,9,38
,,,,,,9 21,39 32,,,46 25,,1,4,3.05,1.307692308,1.129032258,1,1.538461538,3,2
,,,,,,24 9,40 20,,,53 27,,,,,,,,,,
,,,,,,21 10,55 9,,,23 32,,,,,,,,,,
,,,,,,16 3,53 5,,,56 45,,,,,,,,,,
,,,,,,10 1,42 0,,,13 23,,,,,,,,,,
,,,,,,8 6,53 56,,,31 37,,,,,,,,,,
,,,,,,28 8,55 52,,,49 3,,,,,,,,,,
,,,,,,19 22,40 41,,,24 42,,,,,,,,,,
,,,,,,30 1,39 29,,,17 2,,,,,,,,,,
,,,,,,0 0,7 19,,,43 59,,,,,,,,,,
,,,,,,,0 2,,,26 12,,,,,,,,,,
,,,,,,,60 60,,,0 35,,,,,,,,,,
,,,,,,,56 28,,,51 1,,,,,,,,,,
,,,,,,,16 44,,,8 14,,,,,,,,,,
,,,,,,,30 38,,,40 27,,,,,,,,,,
,,,,,,,9 18,,,1 59,,,,,,,,,,
,,,,,,,54 14,,,0 0,,,,,,,,,,
,,,,,,,10 32,,,,,,,,,,,,,
,,,,,,,46 25,,,,,,,,,,,,,
,,,,,,,35 26,,,,,,,,,,,,,
,,,,,,,38 33,,,,,,,,,,,,,
,,,,,,,12 32,,,,,,,,,,,,,
,,,,,,,28 33,,,,,,,,,,,,,
,,,,,,,4 36,,,,,,,,,,,,,
,,,,,,,6 54,,,,,,,,,,,,,
,,,,,,,11 36,,,,,,,,,,,,,
,,,,,,,26 53,,,,,,,,,,,,,
,,,,,,,18 4,,,,,,,,,,,,,
,,,,,,,41 57,,,,,,,,,,,,,
,,,,,,,2 57,,,,,,,,,,,,,
,,,,,,,0 0,,,,,,,,,,,,,
